event_id,row_id,pre_event_status,post_event_status,retry_pre,retry_post,retry_reason,original_error_category
FIRMS_TN_0359,359,PROCESSING_API_ERROR,PROCESSING_API_ERROR,True,True,Transient CDSE Processing API HTTP 401 token expiration on both pre- and post-event observation windows,PROCESSING_API_ERROR
FIRMS_TN_0360,360,PROCESSING_API_ERROR,PROCESSING_API_ERROR,True,True,Transient CDSE Processing API HTTP 401 token expiration on both pre- and post-event observation windows,PROCESSING_API_ERROR
FIRMS_TN_0361,361,PROCESSING_API_ERROR,PROCESSING_API_ERROR,True,True,Transient CDSE Processing API HTTP 401 token expiration on both pre- and post-event observation windows,PROCESSING_API_ERROR
FIRMS_TN_0362,362,PROCESSING_API_ERROR,PROCESSING_API_ERROR,True,True,Transient CDSE Processing API HTTP 401 token expiration on both pre- and post-event observation windows,PROCESSING_API_ERROR
FIRMS_TN_0363,363,PROCESSING_API_ERROR,PROCESSING_API_ERROR,True,True,Transient CDSE Processing API HTTP 401 token expiration on both pre- and post-event observation windows,PROCESSING_API_ERROR
FIRMS_TN_0364,364,PROCESSING_API_ERROR,PROCESSING_API_ERROR,True,True,Transient CDSE Processing API HTTP 401 token expiration on both pre- and post-event observation windows,PROCESSING_API_ERROR
FIRMS_TN_0365,365,PROCESSING_API_ERROR,PROCESSING_API_ERROR,True,True,Transient CDSE Processing API HTTP 401 token expiration on both pre- and post-event observation windows,PROCESSING_API_ERROR
FIRMS_TN_0367,367,PROCESSING_API_ERROR,MISSING_PRODUCT,True,False,Transient CDSE Processing API HTTP 401 token expiration on pre-event window; post-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0368,368,PROCESSING_API_ERROR,MISSING_PRODUCT,True,False,Transient CDSE Processing API HTTP 401 token expiration on pre-event window; post-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0369,369,PROCESSING_API_ERROR,MISSING_PRODUCT,True,False,Transient CDSE Processing API HTTP 401 token expiration on pre-event window; post-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0370,370,PROCESSING_API_ERROR,MISSING_PRODUCT,True,False,Transient CDSE Processing API HTTP 401 token expiration on pre-event window; post-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0371,371,PROCESSING_API_ERROR,MISSING_PRODUCT,True,False,Transient CDSE Processing API HTTP 401 token expiration on pre-event window; post-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0372,372,PROCESSING_API_ERROR,MISSING_PRODUCT,True,False,Transient CDSE Processing API HTTP 401 token expiration on pre-event window; post-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0373,373,PROCESSING_API_ERROR,MISSING_PRODUCT,True,False,Transient CDSE Processing API HTTP 401 token expiration on pre-event window; post-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0375,375,PROCESSING_API_ERROR,MISSING_PRODUCT,True,False,Transient CDSE Processing API HTTP 401 token expiration on pre-event window; post-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0376,376,PROCESSING_API_ERROR,MISSING_PRODUCT,True,False,Transient CDSE Processing API HTTP 401 token expiration on pre-event window; post-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0377,377,PROCESSING_API_ERROR,MISSING_PRODUCT,True,False,Transient CDSE Processing API HTTP 401 token expiration on pre-event window; post-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0378,378,PROCESSING_API_ERROR,MISSING_PRODUCT,True,False,Transient CDSE Processing API HTTP 401 token expiration on pre-event window; post-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0379,379,PROCESSING_API_ERROR,MISSING_PRODUCT,True,False,Transient CDSE Processing API HTTP 401 token expiration on pre-event window; post-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0380,380,PROCESSING_API_ERROR,MISSING_PRODUCT,True,False,Transient CDSE Processing API HTTP 401 token expiration on pre-event window; post-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0385,385,PROCESSING_API_ERROR,MISSING_PRODUCT,True,False,Transient CDSE Processing API HTTP 401 token expiration on pre-event window; post-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0386,386,PROCESSING_API_ERROR,MISSING_PRODUCT,True,False,Transient CDSE Processing API HTTP 401 token expiration on pre-event window; post-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0387,387,PROCESSING_API_ERROR,MISSING_PRODUCT,True,False,Transient CDSE Processing API HTTP 401 token expiration on pre-event window; post-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0388,388,PROCESSING_API_ERROR,MISSING_PRODUCT,True,False,Transient CDSE Processing API HTTP 401 token expiration on pre-event window; post-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0389,389,PROCESSING_API_ERROR,MISSING_PRODUCT,True,False,Transient CDSE Processing API HTTP 401 token expiration on pre-event window; post-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0390,390,PROCESSING_API_ERROR,MISSING_PRODUCT,True,False,Transient CDSE Processing API HTTP 401 token expiration on pre-event window; post-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0392,392,PROCESSING_API_ERROR,MISSING_PRODUCT,True,False,Transient CDSE Processing API HTTP 401 token expiration on pre-event window; post-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0395,395,MISSING_PRODUCT,PROCESSING_API_ERROR,False,True,Transient CDSE Processing API HTTP 401 token expiration on post-event window; pre-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0396,396,MISSING_PRODUCT,PROCESSING_API_ERROR,False,True,Transient CDSE Processing API HTTP 401 token expiration on post-event window; pre-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0397,397,PROCESSING_API_ERROR,MISSING_PRODUCT,True,False,Transient CDSE Processing API HTTP 401 token expiration on pre-event window; post-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0398,398,MISSING_PRODUCT,PROCESSING_API_ERROR,False,True,Transient CDSE Processing API HTTP 401 token expiration on post-event window; pre-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0400,400,MISSING_PRODUCT,PROCESSING_API_ERROR,False,True,Transient CDSE Processing API HTTP 401 token expiration on post-event window; pre-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0401,401,MISSING_PRODUCT,PROCESSING_API_ERROR,False,True,Transient CDSE Processing API HTTP 401 token expiration on post-event window; pre-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0402,402,MISSING_PRODUCT,PROCESSING_API_ERROR,False,True,Transient CDSE Processing API HTTP 401 token expiration on post-event window; pre-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0406,406,PROCESSING_API_ERROR,PROCESSING_API_ERROR,True,True,Transient CDSE Processing API HTTP 401 token expiration on both pre- and post-event observation windows,PROCESSING_API_ERROR
FIRMS_TN_0407,407,MISSING_PRODUCT,PROCESSING_API_ERROR,False,True,Transient CDSE Processing API HTTP 401 token expiration on post-event window; pre-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0408,408,MISSING_PRODUCT,PROCESSING_API_ERROR,False,True,Transient CDSE Processing API HTTP 401 token expiration on post-event window; pre-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0409,409,MISSING_PRODUCT,PROCESSING_API_ERROR,False,True,Transient CDSE Processing API HTTP 401 token expiration on post-event window; pre-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0410,410,MISSING_PRODUCT,PROCESSING_API_ERROR,False,True,Transient CDSE Processing API HTTP 401 token expiration on post-event window; pre-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0411,411,MISSING_PRODUCT,PROCESSING_API_ERROR,False,True,Transient CDSE Processing API HTTP 401 token expiration on post-event window; pre-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0412,412,MISSING_PRODUCT,PROCESSING_API_ERROR,False,True,Transient CDSE Processing API HTTP 401 token expiration on post-event window; pre-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0415,415,MISSING_PRODUCT,PROCESSING_API_ERROR,False,True,Transient CDSE Processing API HTTP 401 token expiration on post-event window; pre-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0417,417,MISSING_PRODUCT,PROCESSING_API_ERROR,False,True,Transient CDSE Processing API HTTP 401 token expiration on post-event window; pre-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0420,420,MISSING_PRODUCT,PROCESSING_API_ERROR,False,True,Transient CDSE Processing API HTTP 401 token expiration on post-event window; pre-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0421,421,MISSING_PRODUCT,PROCESSING_API_ERROR,False,True,Transient CDSE Processing API HTTP 401 token expiration on post-event window; pre-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0423,423,MISSING_PRODUCT,PROCESSING_API_ERROR,False,True,Transient CDSE Processing API HTTP 401 token expiration on post-event window; pre-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0427,427,PROCESSING_API_ERROR,PROCESSING_API_ERROR,True,True,Transient CDSE Processing API HTTP 401 token expiration on both pre- and post-event observation windows,PROCESSING_API_ERROR
FIRMS_TN_0428,428,PROCESSING_API_ERROR,PROCESSING_API_ERROR,True,True,Transient CDSE Processing API HTTP 401 token expiration on both pre- and post-event observation windows,PROCESSING_API_ERROR
FIRMS_TN_0429,429,PROCESSING_API_ERROR,PROCESSING_API_ERROR,True,True,Transient CDSE Processing API HTTP 401 token expiration on both pre- and post-event observation windows,PROCESSING_API_ERROR
FIRMS_TN_0430,430,MISSING_PRODUCT,PROCESSING_API_ERROR,False,True,Transient CDSE Processing API HTTP 401 token expiration on post-event window; pre-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0432,432,MISSING_PRODUCT,PROCESSING_API_ERROR,False,True,Transient CDSE Processing API HTTP 401 token expiration on post-event window; pre-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0433,433,MISSING_PRODUCT,PROCESSING_API_ERROR,False,True,Transient CDSE Processing API HTTP 401 token expiration on post-event window; pre-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0435,435,MISSING_PRODUCT,PROCESSING_API_ERROR,False,True,Transient CDSE Processing API HTTP 401 token expiration on post-event window; pre-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0437,437,MISSING_PRODUCT,PROCESSING_API_ERROR,False,True,Transient CDSE Processing API HTTP 401 token expiration on post-event window; pre-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
FIRMS_TN_0438,438,MISSING_PRODUCT,PROCESSING_API_ERROR,False,True,Transient CDSE Processing API HTTP 401 token expiration on post-event window; pre-event status is legitimate MISSING_PRODUCT,PROCESSING_API_ERROR
